commande_id,allee,position
1,BB,14
1,B,10
1,C,29
1,B,7
1,C,41
1,DD,18
1,E,6
1,E,16
1,EE,7
1,F,41
2,FF,16
2,G,14
2,CC,11
2,D,23
2,DD,8
2,DD,16
2,FE,7
2,F,23
2,FF,5
2,GG,12
3,BB,8
3,B,10
3,CC,5
3,DD,7
3,F,14
3,G,32
3,GG,2
3,H,35
3,E,8
3,AB,9
4,AB,9
4,B,5
4,C,20
4,D,33
4,B,7
4,D,39
4,E,12
4,GG,4
4,H,20
4,A,1
5,AB,6
5,B,22
5,BB,1
5,CC,19
5,B,10
5,D,11
5,B,3
5,D,36
5,GG,4
5,B,22
6,BB,7
6,BB,9
6,B,6
6,D,33
6,B,2
6,E,10
6,E,29
6,E,38
6,G,19
6,H,20
7,A,1
7,H,45
7,AB,9
7,B,8
7,B,15
7,B,32
7,B,9
7,BB,15
7,B,3
7,CC,21
8,B,1
8,DD,8
8,E,22
8,G,32
8,H,10
8,A,2
8,B,24
8,B,1
8,B,38
8,C,38
9,DD,5
9,FF,7
9,G,16
9,G,32
9,G,35
9,H,9
9,H,21
9,AB,10
9,B,3
9,B,19
10,B,7
10,B,39
10,B,3
10,BB,19
10,B,3
10,C,40
10,DD,18
10,EE,8
10,G,12
10,G,32
11,H,41
